,precision,recall,f1-score,support
0,0.5462184873949579,0.4744525547445255,0.5078125,137.0
1,0.535483870967742,0.6058394160583942,0.5684931506849316,137.0
accuracy,0.5401459854014599,0.5401459854014599,0.5401459854014599,0.5401459854014599
macro avg,0.54085117918135,0.5401459854014599,0.5381528253424658,274.0
weighted avg,0.5408511791813498,0.5401459854014599,0.5381528253424657,274.0
