,precision,recall,f1-score,support
0,0.5524475524475524,0.5766423357664233,0.5642857142857143,137.0
1,0.5572519083969466,0.5328467153284672,0.5447761194029851,137.0
accuracy,0.5547445255474452,0.5547445255474452,0.5547445255474452,0.5547445255474452
macro avg,0.5548497304222495,0.5547445255474452,0.5545309168443497,274.0
weighted avg,0.5548497304222495,0.5547445255474452,0.5545309168443496,274.0
