,precision,recall,f1-score,support
0,0.5454545454545454,0.48175182481751827,0.5116279069767442,137.0
1,0.5359477124183006,0.5985401459854015,0.5655172413793104,137.0
accuracy,0.5401459854014599,0.5401459854014599,0.5401459854014599,0.5401459854014599
macro avg,0.540701128936423,0.5401459854014599,0.5385725741780273,274.0
weighted avg,0.5407011289364231,0.5401459854014599,0.5385725741780274,274.0
